n_components,BIC,AIC
2,23286466.029420707,23280956.76975786
3,21776021.248475775,21767751.90426897
4,20497518.955627773,20486489.526877005
5,19710293.523071244,19696504.009776514
6,19052948.87877686,19036399.28093817
7,18702464.291289248,18683154.608906597
8,18207308.44928938,18185238.68236277
9,17697850.984451357,17673021.132980786
10,17394790.472965855,17367200.536951322
11,17192952.534329962,17162602.513771467
12,16950271.912642557,16917161.807540104
13,16696128.566678282,16660258.377031866
14,16612808.748461472,16574178.474271094
15,16387511.063903874,16346120.705169536
16,16097681.34098683,16053530.897708531
17,15993038.862833101,15946128.335010841
18,15920988.149644574,15871317.537278354
19,15796514.526975164,15744083.830064984
