k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.13992314226241662,2.3887383045016994,1400.1961602269046,14056495.304532921
3,0.1441279978629463,2.1269640061192443,1350.9269416366815,12626363.1000475
4,0.14981326211311494,1.909302286729468,1353.467213632661,11431020.042701151
5,0.16459944652117514,1.7781026175731252,1263.6867798432136,10684952.80767885
6,0.15210351263025237,1.9777209957902084,1160.1992838755816,10168590.361132389
7,0.15283587480218436,1.9186112661904111,1077.3399947914315,9775617.525225349
8,0.1471964397844475,1.8949906324903332,972.6712943481912,9459897.529706327
9,0.1485456076015015,1.8454577145233582,942.943933059279,9169887.681819938
10,0.1520855608476395,1.79312713948692,877.5677808157347,8937169.296237564
11,0.1387122937820933,1.874398575527045,825.7668161508531,8712666.935989892
12,0.1327347595176679,1.9152254016634378,811.397382036052,8508151.786269518
13,0.13619498754262954,1.8636938708424242,768.0009908837452,8294716.144477195
14,0.12729825923623184,1.859354880689675,759.5968617665246,8123278.0208237115
15,0.1268544709904891,1.8437781522519219,726.8033788930414,7954564.525611552
