,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
true_edit_days_scaled,0.2987860974961898,0.168910499546207,-0.013233012873583059,0.06952188092143885,-0.05399405639527445,-0.1310279603742799,0.06150529185004066,0.024365586824362736,0.18147174810646785,-0.00241722311244013,0.0037052663189479987,-0.054304207259763565,0.07187543359047659,-0.03974680868879475,0.10190766716716106,0.048851627732336526,0.018216058521069816,0.10307353513612548,0.015515900268266474,0.001302102257473415,0.028555724292424832
active_duration_scaled,0.08941995698928062,0.10454250072836418,-0.10488649629156718,-0.022850861886156124,-0.049751929484819574,-0.03769766770603471,0.3641620387351763,-0.10277344633711673,0.34304674641672755,0.28135843421082424,0.04167360774088451,0.3512280813297546,-0.018803191000498536,-0.16101074199036441,0.0066986208402279165,-0.04652500801516833,0.08543309334374055,0.02852360584896193,-0.09347712939171254,0.04695070520028031,0.06613873543422874
edits_per_day_true_scaled,0.263609817331222,-0.12329873828096406,0.032054101141372374,-0.1337877365002707,0.16700595346191519,0.22080855667358887,0.07267467092035299,-0.0005118515263313036,-0.028750787211279417,-0.13243725603400147,-0.06324180207876709,-0.010767954808611238,-0.0169154038105304,-0.035836894005968754,-0.05286580243083875,-0.07854075848211382,0.03337914469308138,-0.13710503840926486,-0.11861510857553911,0.0278283700209547,-0.03012552988254292
mean_days_between_edits_true_scaled,-0.26914833419502443,-0.1289257404891902,-0.05310181176083193,-0.09141467912617539,0.030066590730477544,0.10170831016184463,0.18112793531398536,-0.09176138986579088,0.02213346871846772,0.15390880359888068,0.055593372870494,0.255716453324632,-0.0445068316061524,-0.08287514512379997,-0.11411129817177243,-0.09724594557600603,0.031335765947883266,-0.12558038804354388,-0.08876223658121485,0.03780461343031404,0.008045150054038002
pause_after_first_editing_day_scaled,-0.17290472185766825,-0.12034014942099844,0.0005890176575498737,-0.005864187735028898,0.01805108084901525,-0.003830751681475575,0.30695421463863115,-0.03749172446872608,0.1711994988196539,-0.11331247513306118,0.17918349481807538,-0.012342868448105728,0.353320260851191,-0.25497687780830575,-0.06695718807507846,-0.07989229311352777,-0.07382725547197876,-0.17937691610017928,-0.10536851113009298,-0.12325764991933805,-0.0964728110619079
top_country_ratio_scaled,-0.08123609041323362,0.11424399856177879,-0.29643246518331884,-0.15571529628802439,0.1806647696249014,0.11888466387986184,-0.2560222365513466,0.08940911371502107,0.2547360570323811,-0.060063045293835854,-0.01569608794136972,-0.046027309122382766,0.1613009240147663,-0.1193746854295065,0.09445530782938634,0.06708241841087678,-0.009497364906678624,0.1253750835564683,-0.1004015624411501,0.048927783861945455,0.0006966572557885554
diversity_score_scaled,0.1324033490675927,-0.11099868331135464,0.2787247047041722,0.15551893164771471,-0.1636591161777758,-0.1148602128724983,0.27735595746867625,-0.07909889038897859,-0.24446038831858902,0.03627402150597602,0.024713880688731586,0.03829025332163404,-0.1432885412106876,0.10357963740111817,-0.07910232724028922,-0.06830479725637673,0.01165916738430634,-0.1204634555976302,0.08389428132872502,-0.03145503781081378,0.003730687432870864
number_of_countries_scaled,0.21418811203238491,-0.004605711111994308,0.19630080393213636,0.1261068346135026,-0.1546126179735849,-0.1522990133459731,0.2893923876531538,-0.05570711486786467,-0.08757318732425474,-0.005789546039779029,0.048338255067930484,-0.02353394153376759,-0.005098735470221132,0.03953420275230054,-0.027501166076659703,-0.019792784307162883,0.006302914619472712,-0.06173375638034141,0.08324033732126593,0.023619599406372514,0.030066825942127572
created_ratio_scaled,0.014949097508128716,-0.11726439074385273,0.3875359601048944,-0.1668989809417644,-0.02800993838520234,0.021028763057629636,-0.14867341801415732,-0.14206803348486535,0.15107342515208133,0.1333716735841754,-0.014641495837010528,-0.09031509089884476,0.010830933250591673,-0.06625349712147878,0.041362533158997405,0.022098704324146984,0.0010298389902262755,0.03437487619470077,0.013622852388661332,-0.08282133432121631,-0.08540173371678299
deleted_ratio_scaled,-0.0005745040570258348,-0.001137595306714565,-0.11155030043864386,-0.2540855425942679,-0.04999980391380848,-0.07656639353471575,0.20242799443860865,0.46764068417899324,-0.24707576671093734,0.14329806672873407,-0.14808952798125974,-0.12078560632981018,-0.016634521774840014,-0.1923524985189482,0.04154178512823978,0.021429551583225175,-0.028940721786292686,0.02781080025376487,0.03520197903635198,-0.11595696529479849,-0.005663134365813725
tag_ratio_scaled,0.011415078484068865,0.03860544081839866,-0.08403432745023931,-0.08107954166834574,-0.15640771890561483,0.20546074258427885,0.09678760683104742,-0.09952525902306528,-0.14368794010028263,-0.1016874274645833,-0.22163918958426937,0.3760859931857939,0.49298555156840074,0.3660109094790748,0.29801164774849387,-0.15260575482246153,0.1754353841138683,0.1291138623996118,0.16124486588225487,0.03401344032558595,0.12736265629433943
